9,10,2,0,20.97
6,6,10,0,21.22
0,9,5,0,2.31
8,9,3,1,15.19
0,7,10,0,14.57
7,8,5,0,3.78
9,2,1,1,0.54
6,1,3,1,11.39
5,4,6,0,21.1
8,2,6,0,18.04
6,6,3,0,22.31
4,9,9,0,12.27
4,6,4,1,15.91
1,9,7,0,10.56
1,2,7,0,7.19
10,6,5,0,23.97
6,2,2,0,22.63
3,4,1,1,5.0
10,6,8,0,22.25
8,4,4,0,12.82
10,7,9,1,10.92
1,5,3,1,6.42
0,0,1,1,3.69
3,1,3,0,19.27
4,10,2,1,20.64
6,3,2,1,4.31
5,6,7,1,18.04
0,3,9,1,14.33
0,0,0,0,22.4
6,6,7,1,7.61
10,7,5,1,11.17
10,10,1,0,9.55
7,6,7,1,2.24
9,5,4,0,14.86
5,8,9,1,6.5
2,3,10,1,23.55
1,0,7,1,21.89
10,7,9,0,22.96
6,4,5,0,19.84
0,8,10,0,7.09
8,5,3,1,4.19
0,7,5,1,23.14
9,2,3,0,16.79
7,2,0,1,9.34
7,3,1,1,15.99
8,3,7,0,14.95
8,9,6,1,14.62
7,1,2,0,11.54
9,5,1,0,17.11
6,4,3,1,14.83
9,9,7,1,8.09
1,3,4,0,17.08
4,8,5,0,21.22
3,7,6,0,13.63
0,4,2,1,19.98
4,5,9,1,14.39
0,8,0,1,12.51
5,3,3,0,18.66
8,2,2,1,6.17
9,1,5,0,2.51
7,2,8,1,10.52
4,5,3,0,10.86
7,3,4,1,5.38
2,1,6,0,17.63
2,0,3,0,6.98
3,0,3,1,6.26
7,1,9,1,20.72
0,8,8,0,16.06
10,8,6,0,4.42
3,0,9,0,20.68
3,10,2,1,2.09
0,2,10,0,2.86
6,2,9,1,20.16
1,1,2,1,6.73
7,1,6,1,7.16
2,2,6,0,18.75
10,1,5,1,0.58
10,2,4,0,21.61
0,4,7,1,19.57
4,0,1,1,5.8
6,5,5,0,16.74
5,1,7,1,10.77
3,2,6,1,0.29
1,2,4,1,13.64
2,8,10,0,4.21
2,2,5,0,2.74
3,9,5,0,9.28
8,8,7,0,5.99
3,10,7,1,2.33
3,7,2,0,21.79
10,6,9,0,21.31
3,3,2,1,3.9
6,2,1,1,11.69
8,2,1,0,21.74
6,0,1,1,8.03
6,2,0,0,15.42
10,8,5,0,12.71
6,2,1,1,7.95
4,6,3,0,20.79
8,10,4,0,22.12
