14,9
12,12
15,1
15,11
17,16
19,15
13,7
17,6
26,5
14,15
27,15
18,3
10,6
12,18
15,3
21,13
14,16
24,10
13,17
10,13
30,5
28,1
18,7
12,1
27,8
27,17
13,16
15,16
10,1
30,14
10,9
12,14
13,7
20,17
30,11
30,15
29,12
14,12
25,3
15,13
14,3
28,17
29,10
16,17
20,2
17,10
22,5
16,12
27,14
12,12
14,7
16,16
21,5
12,15
25,12
30,6
12,8
28,13
29,1
17,4
25,18
21,16
15,2
27,7
17,15
28,11
28,16
22,4
24,14
29,9
13,6
15,10
15,4
13,14
10,13
24,11
16,15
24,14
13,18
20,6
25,6
14,8
29,12
13,13
28,8
22,1
20,18
25,18
16,11
27,16
26,11
25,1
19,13
16,16
28,10
28,11
14,18
26,13
30,2
25,18
